23.0, 34.0, 33.0
22.0, 32.0, 33.0
24.0, 44.0, 36.0
24.0, 44.0, 36.0
24.0, 44.0, 37.0
28.0, 46.0, 38.0
29.0, 35.0, 36.0
31.0, 36.0, 41.0
30.0, 34.0, 46.0
29.0, 40.0, 47.0
18.0, 39.0, 53.0
19.0, 39.0, 50.0
30.0, 37.0, 48.0
27.0, 55.0, 44.0
18.0, 40.0, 31.0
30.0, 37.0, 24.0
31.0, 34.0, 29.0
18.0, 37.0, 12.0
23.0, 47.0, 12.0
42.0, 55.0, 8.0
37.0, 37.0, 7.0
43.0, 46.0, 23.0
43.0, 46.0, 22.0
43.0, 46.0, 22.0
46.0, 47.0, 31.0
47.0, 43.0, 26.0
45.0, 37.0, 27.0
42.0, 38.0, 27.0
40.0, 39.0, 29.0
40.0, 37.0, 31.0
47.0, 38.0, 30.0
40.0, 34.0, 27.0
46.0, 33.0, 24.0
44.0, 33.0, 23.0
41.0, 36.0, 23.0
42.0, 34.0, 23.0
42.0, 34.0, 23.0
42.0, 34.0, 23.0
52.0, 33.0, 23.0
52.0, 32.0, 25.0
53.0, 34.0, 24.0
54.0, 33.0, 27.0
54.0, 33.0, 27.0
53.0, 33.0, 27.0
53.0, 33.0, 27.0
48.0, 35.0, 29.0
54.0, 36.0, 31.0
53.0, 42.0, 27.0
49.0, 44.0, 28.0
52.0, 43.0, 23.0
52.0, 43.0, 23.0
58.0, 43.0, 17.0
61.0, 46.0, 31.0
58.0, 43.0, 31.0
61.0, 37.0, 26.0
58.0, 35.0, 20.0
49.0, 49.0, 30.0
63.0, 58.0, 31.0
63.0, 58.0, 31.0
63.0, 58.0, 31.0
63.0, 58.0, 31.0
60.0, 61.0, 43.0
60.0, 52.0, 42.0
59.0, 52.0, 43.0
56.0, 55.0, 46.0
63.0, 51.0, 46.0
63.0, 51.0, 46.0
63.0, 51.0, 46.0
63.0, 51.0, 46.0
56.0, 50.0, 42.0
56.0, 50.0, 41.0
56.0, 50.0, 41.0
59.0, 50.0, 40.0
58.0, 49.0, 41.0
58.0, 48.0, 41.0
61.0, 49.0, 32.0
62.0, 49.0, 32.0
56.0, 52.0, 35.0
59.0, 50.0, 39.0
59.0, 50.0, 39.0
59.0, 50.0, 39.0
59.0, 50.0, 39.0
51.0, 52.0, 35.0
51.0, 52.0, 35.0
55.0, 49.0, 41.0
55.0, 48.0, 43.0
55.0, 48.0, 43.0
54.0, 50.0, 47.0
53.0, 51.0, 46.0
53.0, 49.0, 47.0
49.0, 50.0, 47.0
48.0, 54.0, 45.0
55.0, 54.0, 47.0
55.0, 53.0, 41.0
51.0, 56.0, 47.0
45.0, 50.0, 38.0
39.0, 52.0, 34.0
47.0, 55.0, 52.0
45.0, 50.0, 50.0
41.0, 51.0, 55.0
33.0, 60.0, 49.0
33.0, 60.0, 50.0
33.0, 60.0, 50.0
53.0, 63.0, 56.0
59.0, 58.0, 61.0
59.0, 58.0, 61.0
59.0, 58.0, 61.0
58.0, 59.0, 61.0
