GEO.display-label,HC01_VC56
Geography,Estimate; RACE - One race - Asian
"Canadian County, Oklahoma",4298
"Cleveland County, Oklahoma",12864
"Comanche County, Oklahoma",2645
"Creek County, Oklahoma",249
"Muskogee County, Oklahoma",513
"Oklahoma County, Oklahoma",24246
"Payne County, Oklahoma",3866
"Pottawatomie County, Oklahoma",578
"Rogers County, Oklahoma",1044
"Tulsa County, Oklahoma",21241
"Wagoner County, Oklahoma",951
"Benton County, Oregon",5884
"Clackamas County, Oregon",16159
"Deschutes County, Oregon",1730
"Douglas County, Oregon",1026
"Jackson County, Oregon",2803
"Josephine County, Oregon",657
"Klamath County, Oregon",702
"Lane County, Oregon",9597
"Linn County, Oregon",1299
"Marion County, Oregon",6959
"Multnomah County, Oregon",56252
"Polk County, Oregon",1362
"Umatilla County, Oregon",266
"Washington County, Oregon",58739
"Yamhill County, Oregon",1804
"Adams County, Pennsylvania",426
"Allegheny County, Pennsylvania",43283
"Armstrong County, Pennsylvania",N
"Beaver County, Pennsylvania",551
"Berks County, Pennsylvania",5504
"Blair County, Pennsylvania",844
"Bucks County, Pennsylvania",30721
"Butler County, Pennsylvania",2478
"Cambria County, Pennsylvania",515
"Carbon County, Pennsylvania",N
"Centre County, Pennsylvania",8766
"Chester County, Pennsylvania",25578
"Clearfield County, Pennsylvania",390
"Columbia County, Pennsylvania",781
"Crawford County, Pennsylvania",314
"Cumberland County, Pennsylvania",10925
"Dauphin County, Pennsylvania",11959
"Delaware County, Pennsylvania",32804
"Erie County, Pennsylvania",4980
"Fayette County, Pennsylvania",320
"Franklin County, Pennsylvania",1733
"Indiana County, Pennsylvania",942
"Lackawanna County, Pennsylvania",5204
"Lancaster County, Pennsylvania",10923
"Lawrence County, Pennsylvania",344
"Lebanon County, Pennsylvania",2078
"Lehigh County, Pennsylvania",11587
"Luzerne County, Pennsylvania",3756
"Lycoming County, Pennsylvania",637
"Mercer County, Pennsylvania",904
"Monroe County, Pennsylvania",3492
"Montgomery County, Pennsylvania",60749
"Northampton County, Pennsylvania",8454
"Northumberland County, Pennsylvania",432
"Philadelphia County, Pennsylvania",110733
"Schuylkill County, Pennsylvania",829
"Somerset County, Pennsylvania",380
"Washington County, Pennsylvania",1981
"Westmoreland County, Pennsylvania",3691
"York County, Pennsylvania",6918
"Kent County, Rhode Island",3675
"Newport County, Rhode Island",1864
"Providence County, Rhode Island",26713
